song_name,duration,artist,album,album_cover,played_at
Epilogue,459466,Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4,2022-06-20T04:49:39.235Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-20T04:43:32.548Z
Gema,222943,MIEL,ƎDÉN,https://i.scdn.co/image/ab67616d0000b273f218a44034322635d4c3f00d,2022-06-20T04:39:40.272Z
Running Up That Hill (A Deal With God) - 2018 Remaster,300840,Kate Bush,Hounds of Love (2018 Remaster),https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,2022-06-20T04:20:33.298Z
I Ain't Worried,148485,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,2022-06-20T04:12:27.330Z
Headlines,235986,Drake,Take Care (Deluxe),https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2022-06-20T03:59:05.489Z
Look What You've Done,301960,Drake,Take Care (Deluxe),https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2022-06-20T03:55:08.331Z
Doing It Wrong,265120,Drake,Take Care (Deluxe),https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2022-06-20T03:50:05.921Z
Fire & Desire,238120,Drake,Views,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2022-06-20T03:44:59.677Z
This Is War,326983,Thirty Seconds To Mars,This Is War (Deluxe),https://i.scdn.co/image/ab67616d0000b273dc71afe98ba69bee55dddf4e,2022-06-21T04:20:28.481Z
Stop Crying Your Heart Out,303133,Oasis,Heathen Chemistry,https://i.scdn.co/image/ab67616d0000b273f687135853a4488b2178d0bf,2022-06-21T04:14:53.346Z
willow,214706,Taylor Swift,evermore,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be,2022-06-21T02:50:51.803Z
Style,231000,Taylor Swift,1989 (Deluxe),https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,2022-06-21T02:47:16.083Z
Babe (Taylor's Version) (From The Vault),224240,Taylor Swift,Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,2022-06-21T02:43:24.719Z
Babe (Taylor's Version) (From The Vault),224240,Taylor Swift,Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,2022-06-21T02:05:14.550Z
Astronomy,243907,Conan Gray,Astronomy,https://i.scdn.co/image/ab67616d0000b273561bebcde13f57644b5550b2,2022-06-21T01:49:53.908Z
Sanctuary,180018,Joji,Nectar,https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81,2022-06-21T01:41:16.633Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-21T00:56:33.767Z
Sanctuary,180018,Joji,Nectar,https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81,2022-06-21T00:52:39.507Z
Sanctuary,180018,Joji,Nectar,https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81,2022-06-20T19:50:07.476Z
Red (Taylor's Version),223093,Taylor Swift,Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,2022-06-20T18:35:37.130Z
Style,231000,Taylor Swift,1989 (Deluxe),https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,2022-06-20T18:31:54.012Z
